County,Population Total
Alameda ,1661584
Alpine ,1159
Amador ,39023
Butte ,223344
Calaveras ,45828
Colusa ,21491
Contra Costa ,1147788
Del Norte ,27692
El Dorado ,190345
Fresno ,990204
Glenn ,28060
Humboldt ,136101
Imperial ,180580
Inyo ,17930
Kern ,892458
Kings ,151090
Lake ,64276
Lassen ,30600
Los Angeles ,10040682
Madera ,155925
Marin ,259441
Mariposa ,17319
Mendocino ,87110
Merced ,273661
Modoc ,8853
Mono ,14395
Monterey ,432977
Napa ,138572
Nevada ,99417
Orange ,3170345
Placer ,391799
Plumas ,18844
Riverside ,2437864
Sacramento ,1537948
San Benito ,61547
San Bernardino ,2162532
San Diego ,3323970
San Francisco ,874784
San Joaquin ,751615
San Luis Obispo ,282517
San Mateo ,765623
Santa Barbara ,444895
Santa Clara ,1924379
Santa Cruz ,273170
Shasta ,179267
Sierra ,2898
Siskiyou ,43516
Solano ,444538
Sonoma ,496801
Stanislaus ,546235
Sutter ,96315
Tehama ,64176
Trinity ,12541
Tulare ,463955
Tuolumne ,54147
Ventura ,845599
Yolo ,218774
Yuba ,77524
