County,Population Total,Geometry,,,
Alameda ,1661584,"MULTIPOLYGON (((-121.99055 37.46256, -121.9907...",,,
Alpine ,1159,"POLYGON ((-120.07266 38.51175, -120.07193 38.5...",,,
Amador ,39023,"POLYGON ((-120.07414 38.70165, -120.07320 38.6...",,,
Butte ,223344,"POLYGON ((-121.90864 39.30519, -121.90672 39.3...",,,
Calaveras ,45828,"POLYGON ((-120.07266 38.51175, -120.07199 38.5...",,,
Colusa ,21491,"POLYGON ((-121.88808 39.38493, -121.88734 39.3...",,,
Contra Costa ,1147788,"POLYGON ((-122.31773 37.89746, -122.31839 37.8...",,,
Del Norte ,27692,"MULTIPOLYGON (((-123.53883 41.98751, -123.5392...",,,
El Dorado ,190345,"POLYGON ((-119.90250 38.93323, -119.90025 38.9...",,,
Fresno ,990204,"POLYGON ((-120.91826 36.74143, -120.91035 36.7...",,,
Glenn ,28060,"POLYGON ((-122.04560 39.80083, -122.04187 39.7...",,,
Humboldt ,136101,"MULTIPOLYGON (((-124.05174 41.46503, -123.9940...",,,
Imperial ,180580,"POLYGON ((-114.72063 32.71796, -114.72024 32.7...",,,
Inyo ,17930,"POLYGON ((-118.36443 36.74711, -118.37177 36.7...",,,
Kern ,892458,"POLYGON ((-118.00905 35.78609, -117.92342 35.7...",,,
Kings ,151090,"POLYGON ((-120.31820 35.90518, -120.29678 35.9...",,,
Lake ,64276,"POLYGON ((-122.73894 39.38343, -122.78485 39.3...",,,
Lassen ,30600,"POLYGON ((-121.32722 40.44508, -121.32719 40.4...",,,
Los Angeles ,10040682,"MULTIPOLYGON (((-118.43278 32.80250, -118.4327...",,,
Madera ,155925,"POLYGON ((-119.02357 37.58572, -119.06151 37.5...",,,
Marin ,259441,"MULTIPOLYGON (((-122.42889 37.87150, -122.4287...",,,
Mariposa ,17319,"POLYGON ((-119.30767 37.77914, -119.37997 37.7...",,,
Mendocino ,87110,"MULTIPOLYGON (((-123.59254 38.79800, -123.5933...",,,
Merced ,273661,"POLYGON ((-120.54173 37.04589, -120.89619 36.7...",,,
Modoc ,8853,"POLYGON ((-119.99953 41.18446, -120.04977 41.1...",,,
Mono ,14395,"POLYGON ((-119.63650 38.32855, -119.63535 38.3...",,,
Monterey ,432977,"POLYGON ((-120.67992 36.26598, -120.67412 36.2...",,,
Napa ,138572,"POLYGON ((-122.62583 38.66755, -122.46342 38.7...",,,
Nevada ,99417,"POLYGON ((-121.27880 39.03651, -121.27909 39.1...",,,
Orange ,3170345,"POLYGON ((-118.11372 33.74250, -118.11414 33.7...",,,
Placer ,391799,"POLYGON ((-120.00225 39.06773, -120.12741 39.0...",,,
Plumas ,18844,"POLYGON ((-121.07590 39.59776, -121.07901 39.6...",,,
Riverside ,2437864,"POLYGON ((-114.43308 34.08561, -114.43413 34.0...",,,
Sacramento ,1537948,"MULTIPOLYGON (((-121.83778 38.03139, -121.8436...",,,
San Benito ,61547,"POLYGON ((-120.91826 36.74143, -120.82331 36.6...",,,
San Bernardino ,2162532,"POLYGON ((-114.13727 34.30508, -114.13660 34.3...",,,
San Diego ,3323970,"MULTIPOLYGON (((-117.23302 32.77584, -117.2329...",,,
San Francisco ,874784,"MULTIPOLYGON (((-123.00222 37.70334, -123.0034...",,,
San Joaquin ,751615,"POLYGON ((-121.47069 37.48185, -121.47002 37.4...",,,
San Luis Obispo ,282517,"MULTIPOLYGON (((-120.87250 35.21583, -120.8727...",,,
San Mateo ,765623,"MULTIPOLYGON (((-122.33660 37.10862, -122.3357...",,,
Santa Barbara ,444895,"MULTIPOLYGON (((-119.04417 33.46556, -119.0445...",,,
Santa Clara ,1924379,"MULTIPOLYGON (((-121.99090 37.46262, -121.9908...",,,
Santa Cruz ,273170,"POLYGON ((-121.64341 36.89353, -121.64597 36.9...",,,
Shasta ,179267,"POLYGON ((-121.33230 41.18410, -121.33208 41.1...",,,
Sierra ,2898,"POLYGON ((-120.14854 39.70892, -120.14017 39.7...",,,
Siskiyou ,43516,"POLYGON ((-123.65913 41.38206, -123.65639 41.3...",,,
Solano ,444538,"MULTIPOLYGON (((-121.97472 38.07306, -121.9744...",,,
Sonoma ,496801,"MULTIPOLYGON (((-122.49861 38.11069, -122.4986...",,,
Stanislaus ,546235,"POLYGON ((-120.92587 38.07786, -120.72584 37.8...",,,
Sutter ,96315,"POLYGON ((-121.90864 39.30519, -121.85389 39.3...",,,
Tehama ,64176,"POLYGON ((-121.44427 40.15079, -121.44370 40.1...",,,
Trinity ,12541,"POLYGON ((-123.54378 40.00379, -123.54397 40.1...",,,
Tulare ,463955,"POLYGON ((-119.57764 36.48855, -119.47060 36.5...",,,
Tuolumne ,54147,"POLYGON ((-120.01685 38.43630, -119.87933 38.3...",,,
Ventura ,845599,"MULTIPOLYGON (((-119.52468 33.28344, -119.5241...",,,
Yolo ,218774,"POLYGON ((-122.33863 38.92477, -122.31378 38.9...",,,
Yuba ,77524,"POLYGON ((-121.62526 39.29493, -121.62012 39.3...",,,
