Rank,County,Land Area (sq mi)
1,San Bernardino,20068.01
2,Inyo,10197.26
3,Kern,8134.65
4,Riverside,7209.27
5,Siskiyou,6278.77
6,Fresno,5958.0
7,Tulare,4823.9
8,Lassen,4541.34
9,San Diego,4210.23
10,Imperial,4175.54
11,Los Angeles,4059.28
12,Modoc,3948.23
13,Shasta,3775.52
14,Humboldt,3568.19
15,Mendocino,3506.82
16,San Luis Obispo,3300.85
17,Monterey,3281.72
18,Trinity,3179.27
19,Mono,3048.9
20,Tehama,2949.14
21,Santa Barbara,2733.94
22,Plumas,2553.06
23,Tuolumne,2220.91
24,Madera,2136.92
25,Merced,1938.0
26,Ventura,1840.79
27,El Dorado,1707.85
28,Butte,1636.49
29,Sonoma,1575.63
30,Stanislaus,1496.02
31,Mariposa,1448.84
32,Placer,1407.08
33,San Joaquin,1392.37
34,Kings,1390.97
35,San Benito,1388.65
36,Glenn,1313.97
37,Santa Clara,1291.08
38,Lake,1256.55
39,Colusa,1150.71
40,Calaveras,1020.02
41,Yolo,1014.73
42,Del Norte,1006.23
43,Sacramento,965.27
44,Nevada,957.76
45,Sierra,953.17
46,Solano,821.83
47,Orange,792.84
48,Napa,748.36
49,Alameda,737.46
50,Alpine,738.34
51,Contra Costa,716.93
52,Yuba,632.01
53,Sutter,602.7
54,Amador,594.58
55,Marin,520.42
56,San Mateo,448.62
57,Santa Cruz,445.11
58,San Francisco,46.91
