State,County,Year,Month,tmax,tmin,prcp_monttl
California,Alameda,1981,11,31.22,,
California,Alameda,1981,10,23.49,,
California,Alameda,1981,2,,,19.09
California,Alameda,1981,5,,14.26,
California,Alameda,1981,3,,15.42,
California,Alameda,1981,12,,21.82,
California,Alameda,1981,6,,9.68,
California,Alameda,1981,9,,23.61,
California,Alameda,1981,4,,,9.04
California,Alameda,1981,8,12.59,,
California,Alameda,1981,7,21.89,,
California,Alameda,1981,1,19.29,,
California,Alpine,1981,6,40.69,,
California,Alpine,1981,3,,5.28,
California,Alpine,1981,2,,19.05,
California,Alpine,1981,10,,7.78,
California,Alpine,1981,9,24.52,,
California,Alpine,1981,4,,1.06,
California,Alpine,1981,12,37.83,,
California,Alpine,1981,8,22.09,,
California,Alpine,1981,1,,6.78,
California,Alpine,1981,11,,3.68,
California,Alpine,1981,5,,,6.92
California,Alpine,1981,7,28.8,,
California,Amador,1981,11,,17.22,
California,Amador,1981,12,34.1,,
California,Amador,1981,3,16.42,,
California,Amador,1981,7,,,8.3
California,Amador,1981,4,,8.57,
California,Amador,1981,6,,-0.38,
California,Amador,1981,8,26.05,,
California,Amador,1981,5,,,5.12
California,Amador,1981,9,,,8.59
California,Amador,1981,2,,,3.48
California,Amador,1981,1,,,18.57
California,Amador,1981,10,19.89,,
California,Butte,1981,8,36.66,,
California,Butte,1981,6,,,1.28
California,Butte,1981,7,23.82,,
California,Butte,1981,1,,,10.77
California,Butte,1981,9,,,8.89
California,Butte,1981,4,,12.55,
California,Butte,1981,10,37.9,,
California,Butte,1981,3,,-4.38,
California,Butte,1981,5,40.73,,
California,Butte,1981,11,13.46,,
California,Butte,1981,2,,,12.07
California,Butte,1981,12,11.18,,
California,Calaveras,1981,1,43.1,,
California,Calaveras,1981,3,18.98,,
California,Calaveras,1981,6,,6.02,
California,Calaveras,1981,10,,,18.11
California,Calaveras,1981,7,,,18.8
California,Calaveras,1981,8,,20.69,
California,Calaveras,1981,9,,20.62,
California,Calaveras,1981,4,,,4.77
California,Calaveras,1981,2,,,4.2
California,Calaveras,1981,12,25.21,,
California,Calaveras,1981,11,,9.98,
California,Calaveras,1981,5,13.18,,
California,Colusa,1981,5,,0.98,
California,Colusa,1981,4,36.82,,
California,Colusa,1981,2,19.35,,
California,Colusa,1981,11,,-2.63,
California,Colusa,1981,12,44.78,,
California,Colusa,1981,7,29.74,,
California,Colusa,1981,6,,13.67,
California,Colusa,1981,10,,19.6,
California,Colusa,1981,8,,23.55,
California,Colusa,1981,1,15.81,,
California,Colusa,1981,3,,,4.92
California,Colusa,1981,9,,,15.99
California,Contra Costa,1981,4,20.28,,
California,Contra Costa,1981,8,23.96,,
California,Contra Costa,1981,2,,20.32,
California,Contra Costa,1981,12,,,16.93
California,Contra Costa,1981,11,,18.56,
California,Contra Costa,1981,3,,22.98,
California,Contra Costa,1981,10,,,16.63
California,Contra Costa,1981,9,39.41,,
California,Contra Costa,1981,1,,,3.77
California,Contra Costa,1981,7,40.0,,
California,Contra Costa,1981,6,14.07,,
California,Contra Costa,1981,5,,4.49,
California,Del Norte,1981,1,27.0,,
California,Del Norte,1981,5,,,12.61
California,Del Norte,1981,3,,22.35,
California,Del Norte,1981,4,,-4.94,
California,Del Norte,1981,10,27.54,,
California,Del Norte,1981,7,25.6,,
California,Del Norte,1981,6,,10.39,
California,Del Norte,1981,2,,-2.73,
California,Del Norte,1981,9,,-4.64,
California,Del Norte,1981,11,28.71,,
California,Del Norte,1981,12,,,5.51
California,Del Norte,1981,8,,3.34,
California,El Dorado,1981,7,,,6.94
California,El Dorado,1981,3,,5.32,
California,El Dorado,1981,1,22.39,,
California,El Dorado,1981,4,30.48,,
California,El Dorado,1981,12,,,14.35
California,El Dorado,1981,10,25.66,,
California,El Dorado,1981,8,,,7.15
California,El Dorado,1981,9,,20.74,
California,El Dorado,1981,6,,,17.25
California,El Dorado,1981,11,,22.52,
California,El Dorado,1981,5,,19.6,
California,El Dorado,1981,2,42.78,,
California,Fresno,1981,10,17.77,,
California,Fresno,1981,9,,2.06,
California,Fresno,1981,4,10.29,,
California,Fresno,1981,8,,,18.65
California,Fresno,1981,5,15.37,,
California,Fresno,1981,7,,10.09,
California,Fresno,1981,1,31.61,,
California,Fresno,1981,11,,,12.29
California,Fresno,1981,2,,,6.61
California,Fresno,1981,3,13.87,,
California,Fresno,1981,12,,16.7,
California,Fresno,1981,6,42.53,,
California,Glenn,1981,3,,22.33,
California,Glenn,1981,9,35.91,,
California,Glenn,1981,7,,-2.19,
California,Glenn,1981,11,30.71,,
California,Glenn,1981,10,,,14.51
California,Glenn,1981,4,,-4.97,
California,Glenn,1981,1,,-3.61,
California,Glenn,1981,12,,,1.56
California,Glenn,1981,8,35.89,,
California,Glenn,1981,6,,,9.38
California,Glenn,1981,5,,16.49,
California,Glenn,1981,2,,,2.17
California,Humboldt,1981,5,,,5.35
California,Humboldt,1981,10,43.11,,
California,Humboldt,1981,4,,,10.22
California,Humboldt,1981,1,18.2,,
California,Humboldt,1981,6,35.23,,
California,Humboldt,1981,7,,15.81,
California,Humboldt,1981,9,,-1.77,
California,Humboldt,1981,8,,,10.16
California,Humboldt,1981,2,,5.56,
California,Humboldt,1981,12,30.18,,
California,Humboldt,1981,3,,,6.97
California,Humboldt,1981,11,,,12.16
California,Imperial,1981,10,,,3.55
California,Imperial,1981,12,,-1.5,
California,Imperial,1981,4,13.91,,
California,Imperial,1981,3,,,15.31
California,Imperial,1981,8,14.03,,
California,Imperial,1981,2,14.35,,
California,Imperial,1981,1,10.55,,
California,Imperial,1981,7,,,18.0
California,Imperial,1981,6,35.84,,
California,Imperial,1981,9,21.66,,
California,Imperial,1981,5,,,8.03
California,Imperial,1981,11,19.45,,
California,Inyo,1981,1,,7.67,
California,Inyo,1981,10,,,2.88
California,Inyo,1981,2,,-2.64,
California,Inyo,1981,4,16.08,,
California,Inyo,1981,8,10.49,,
California,Inyo,1981,11,,,3.21
California,Inyo,1981,7,32.83,,
California,Inyo,1981,5,,14.74,
California,Inyo,1981,9,17.99,,
California,Inyo,1981,3,,-3.28,
California,Inyo,1981,6,33.03,,
California,Inyo,1981,12,,,17.2
California,Kern,1981,11,,,4.71
California,Kern,1981,7,,14.92,
California,Kern,1981,12,,0.11,
California,Kern,1981,5,,,0.45
California,Kern,1981,6,,-3.69,
California,Kern,1981,4,,10.3,
California,Kern,1981,10,27.52,,
California,Kern,1981,3,,20.42,
California,Kern,1981,9,,,4.51
California,Kern,1981,8,,12.79,
California,Kern,1981,1,33.24,,
California,Kern,1981,2,,,14.13
California,Kings,1981,11,,7.11,
California,Kings,1981,2,32.17,,
California,Kings,1981,7,,,14.72
California,Kings,1981,3,,,10.33
California,Kings,1981,5,,,8.52
California,Kings,1981,12,,24.94,
California,Kings,1981,4,,,8.02
California,Kings,1981,1,34.18,,
California,Kings,1981,6,,,1.44
California,Kings,1981,9,,6.16,
California,Kings,1981,8,,22.58,
California,Kings,1981,10,,19.6,
California,Lake,1981,1,23.94,,
California,Lake,1981,6,,9.54,
California,Lake,1981,2,,,15.28
California,Lake,1981,3,39.46,,
California,Lake,1981,9,,,0.49
California,Lake,1981,5,,,13.32
California,Lake,1981,4,,-2.2,
California,Lake,1981,10,30.53,,
California,Lake,1981,8,,,12.86
California,Lake,1981,7,,,7.46
California,Lake,1981,11,36.49,,
California,Lake,1981,12,,,0.22
California,Lassen,1981,10,37.28,,
California,Lassen,1981,3,,,9.33
California,Lassen,1981,12,,,15.29
California,Lassen,1981,6,12.3,,
California,Lassen,1981,8,,,8.21
California,Lassen,1981,4,23.64,,
California,Lassen,1981,5,,,11.7
California,Lassen,1981,2,33.47,,
California,Lassen,1981,7,,,8.95
California,Lassen,1981,11,,13.3,
California,Lassen,1981,9,30.14,,
California,Lassen,1981,1,19.39,,
California,Los Angeles,1981,12,42.36,,
California,Los Angeles,1981,9,,,0.07
California,Los Angeles,1981,2,,0.58,
California,Los Angeles,1981,7,32.26,,
California,Los Angeles,1981,8,,,1.17
California,Los Angeles,1981,4,,,5.52
California,Los Angeles,1981,5,23.92,,
California,Los Angeles,1981,3,,24.23,
California,Los Angeles,1981,11,,9.72,
California,Los Angeles,1981,6,18.8,,
California,Los Angeles,1981,1,,,2.47
California,Los Angeles,1981,10,,,7.72
California,Madera,1981,2,,,3.81
California,Madera,1981,11,30.8,,
California,Madera,1981,12,,4.81,
California,Madera,1981,5,,-4.22,
California,Madera,1981,4,,,0.97
California,Madera,1981,9,42.65,,
California,Madera,1981,3,40.83,,
