State,County,Year,Month,tmax,tmin,prcp_monttl,prcp
California,Alameda,1983,1,,,,174.47901916503906
California,Alameda,1983,2,,,,157.25033569335938
California,Alameda,1983,3,,,,193.77145385742188
California,Alameda,1983,4,,,,88.6110610961914
California,Alameda,1983,5,,,,6.977845668792725
California,Alameda,1983,6,,,,0.0
California,Alameda,1983,7,,,,0.0
California,Alameda,1983,8,,,,6.6102986335754395
California,Alameda,1983,9,,,,26.215696334838867
California,Alameda,1983,10,,,,10.113581657409668
California,Alameda,1983,11,,,,170.2198486328125
California,Alameda,1983,12,,,,121.36678314208984
California,Alameda,1988,1,13.360593795776367,,,
California,Alameda,1988,2,18.167146682739258,,,
California,Alameda,1988,3,19.59739875793457,,,
California,Alameda,1988,4,19.90083885192871,,,
California,Alameda,1988,5,21.887813568115234,,,
California,Alameda,1988,6,25.976102828979492,,,
California,Alameda,1988,7,30.244150161743164,,,
California,Alameda,1988,8,28.23799705505371,,,
California,Alameda,1988,9,27.472837448120117,,,
California,Alameda,1988,10,23.67262840270996,,,
California,Alameda,1988,11,16.433008193969727,,,
California,Alameda,1988,12,13.852289199829102,,,
California,Alameda,2003,1,,7.817008972167969,,
California,Alameda,2003,2,,5.416919708251953,,
California,Alameda,2003,3,,7.424105644226074,,
California,Alameda,2003,4,,6.668377876281738,,
California,Alameda,2003,5,,10.27799129486084,,
California,Alameda,2003,6,,13.05582332611084,,
California,Alameda,2003,7,,15.799077987670898,,
California,Alameda,2003,8,,14.857733726501465,,
California,Alameda,2003,9,,15.038102149963379,,
California,Alameda,2003,10,,12.298641204833984,,
California,Alameda,2003,11,,6.394775867462158,,
California,Alameda,2003,12,,5.818287372589111,,
