State,County,Year,Month,prcp,tmax
California,Alameda,1983,1,174.47901916503906,
California,Alpine,1983,1,241.9465789794922,
California,Alameda,1983,2,157.25033569335938,
California,Alpine,1983,2,307.3089294433594,
California,Alameda,1983,3,193.77145385742188,
California,Alpine,1983,3,248.66754150390625,
California,Alameda,1983,4,88.6110610961914,
California,Alpine,1983,4,160.87208557128906,
California,Alameda,1983,5,6.977845668792725,
California,Alpine,1983,5,17.878175735473633,
California,Alameda,1983,6,0.0,
California,Alpine,1983,6,10.319128036499023,
California,Alameda,1983,7,0.0,
California,Alpine,1983,7,0.0,
California,Alameda,1983,8,6.6102986335754395,
California,Alpine,1983,8,76.51162719726562,
California,Alameda,1983,9,26.215696334838867,
California,Alpine,1983,9,42.94548034667969,
California,Alameda,1983,10,10.113581657409668,
California,Alpine,1983,10,51.96494674682617,
California,Alameda,1983,11,170.2198486328125,
California,Alpine,1983,11,391.2823486328125,
California,Alameda,1983,12,121.36678314208984,
California,Alpine,1983,12,312.49462890625,
California,Alameda,1988,1,,13.360593795776367
California,Alpine,1988,1,,3.036485195159912
California,Alameda,1988,2,,18.167146682739258
California,Alpine,1988,2,,7.724370002746582
California,Alameda,1988,3,,19.59739875793457
California,Alpine,1988,3,,8.632821083068848
California,Alameda,1988,4,,19.90083885192871
California,Alpine,1988,4,,10.350736618041992
California,Alameda,1988,5,,21.887813568115234
California,Alpine,1988,5,,13.981706619262695
California,Alameda,1988,6,,25.976102828979492
California,Alpine,1988,6,,19.582679748535156
California,Alameda,1988,7,,30.244150161743164
California,Alpine,1988,7,,25.8704776763916
California,Alameda,1988,8,,28.23799705505371
California,Alpine,1988,8,,23.435144424438477
California,Alameda,1988,9,,27.472837448120117
California,Alpine,1988,9,,19.945602416992188
California,Alameda,1988,10,,23.67262840270996
California,Alpine,1988,10,,18.440906524658203
California,Alameda,1988,11,,16.433008193969727
California,Alpine,1988,11,,5.1651129722595215
California,Alameda,1988,12,,13.852289199829102
California,Alpine,1988,12,,2.2187952995300293
